Recurso,Simulado
"222404 - CUBO RODA F. FUND. NOD. GGG-50" CBHM 6000",4
222859 - CONTRA PINO  3/16 X 3,6
226105 - CORRENTE ELO 3/16 F. POLIDO,"28,16"
"232300 - GRAMPO P/ CABO DE ACO 3/16""",60
234205 - GRAXEIRO 1/4 UNF       RETO,82
238405 - MOLA DA TRAVA DA CBHM,76
238406 - MOLA - COMPL GUIA DO ÊMBOLO - CARR MELÃO 025086,12
"240217 - MANG A/P SAE-100 3/8"" x 1400mm TERM. RETO/RETO JIC 3/4""",4
"240229 - MANG A/P SAE-100 3/8"" x 400mm TERM. RETO/RETO JIC 3/4""",76
"240234 - MANG A/P SAE-100 3/8"" X 2800 C/ TERM. RETO JIC 3/4"" UNF FEMEA",72
240462 - CAPS DE VINIL DMPC 0740-1A,152
240473 - TERMINAL MACHO - CIL. CBH's,152
240474 - CIL. COMPL. CBHM/CBH C�D.4403-01,30
240492 - FECHO RÁP. P/CARR. LD CÓD.ESP481D,10
240493 - FECHO RÁP. P/CARR. LE CÓD.ESP481E,6
240494 - GANCHO C/ REBAIXO P/ F.RÁPIDO CÓD.ESP482,12
"240590 - ADAPT. 1/2"" NPTF X 3/4-16-PTT-30°",76
240634 - MACACO MOD. RAL-611 (CBHs),29
240640 - CIL. COMPL. CBHM/CBH C�D. 4.1/2 x 2 x 335 mm,8
240642 - GANCHO MENOR P/ F.RÁPIDO CÓD.FT 0040-C,4
255452 - PARAF RODA 5/8-18Fx2.3/32 - 216R,456
"255464 - PARAF RODA 1/2 X 1.3/4"" CF. DES.",96
256328 - PARAF FRANC 5/16X1.1/2 C/PO.SX.,273
"257645 - PARAF ALLEN 1/4 X 2"" NC C/CAB.",112
258090 - PARAF SEX   5/16X 3/4    UNC ZB,76
258155 - PARAF SEX   1/2 X 3.1/2  UNC  ZB,296
258234 - PARAF SEX   3/4 X 2   UNC ZB,328
258416 - PARAF SEX   5/16X 1.1/4    UNC,76
"258532 - PARAF SEX   1/2 X 2 ""     UNC ZB",76
"258544 - PARAF SEX   1/2 X 3""     UNC ZB",4
260101 - PARAF SEX   1/2 X 1.1/2  UNC ZB,52
260484 - PARAF SEX   1/2 X 1.1/4    UNC,14
260826 - BUCHA FLUTUANTE PARA FEIXE DE MOLAS,76
260836 - PARAF SEX   1/2 X 2.1/4 8.8UNC ZB,2
"262728 - RODA ARO K 5 X 14"" - 6 FUROS",4
266176 - PLACA DE IDENT. CEMAG,12
268150 - PNEU 7.50-16 IMPL (16TT 10PR RA45),68
"272401 - PORCA CAST.  DE 1"" UNS-14 FIOS ZB",92
272504 - PORCA CAST 1.1/2 S/COROA - UNC ZB,12
"273405 - PORCA CÔN. 1/2"" UNF - CH-13/16"" ZB",96
"273600 - PORCA CON. 5/8"" UNF CH-1.1/16"" ZB",456
"274033 - PORCA CAST.  DE 7/8""  UNF ZB",3
274124 - PORCA SEX     1/2   UNC  ZB,472
"274203 - PORCA SEX     3/4""   UNC  ZB",328
"274252 - PORCA SEX    5/16""  UNC  ZB",152
274355 - PORCA SEX     1/4          UNF,6
"274409 - PORCA SEX     1/4""  UNC  ZB",88
"274604 - PORCA SEX     3/8""  UNC  ZB",36
282005 - REBITE DE ALUMINIO 4X6,192
282169 - REBITE DE ALUMINIO   6X12,24
284210 - RETENTOR REF 1552 BR (AR-5363),16
284245 - RETENTOR REF 00517 BR (AR-5346),4
284282 - RETENTOR REF 00793 BA (AR-5006),72
288986 - ROLAMENTO 30207 SPZ/ZWZ/GBR/1ª L,88
289024 - ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L,16
289206 - ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L,72
289220 - ROLAMENTO 33210 SPZ/ZWZ/GBR/1ª L,4
289231 - ROLAMENTO 32207 SPZ/ZWZ/GBR/1ª L,4
"298876 - MACHO  ENG RÁPIDO DE 1/2"" C/PROTETOR",76
"299108 - CABO DE ACO 3/16"" GALV. 6X7 + AF.",71
"299534 - LONA DE FREIO MOLDADA 1/4X2""",12
313131 - ESM. PU ACRILICO LARANJA,"89,4323"
313133 - ESM. PU ACRILICO VERMELHO,"1,136"
313135 - ESM. PU ACRILICO AZUL,"35,8104"
313137 - ESM. PU CINZA OPALESCENTE,"13,2349"
313210 - CATALISADOR PU 1/1 5058 COMP B,"35,3103"
318416 - TINTA PÓ 26 LI LARANJA W RAL 2002 BR,"79,566"
318417 - TINTA PÓ 26 R LI CINZA FUMAÇA EMA 022 167,"27,58"
318418 - TINTA PÓ 27 W VERMELHA W81400 CÓD. WEG 10005853,"33,6"
326409 - VERNIZ SINT�TICO - TINGIDO,"13,9914"
350102 - ARAME COBREADO MIG 1.2 (ER70S6),"467,42"
802013 - GRAXA LUBRIFICANTE,"9,66"
"222401 - CUBO RODA F. FUND. NOD. GGG-50"" F6",0
"222402 - CUBO RODA F. FUND. NOD. GGG-50"" FA4/CBHM",0
"222404 - CUBO RODA F. FUND. NOD. GGG-50" CBHM 6000",0
210659 - VÁLVULA ESFERA MONOBLOCO BSP 3,0
"120110 - CHAPA A.DERR. 3,00mm. 1010",0
599161 - CARRETEL LINHA NYLON,0
533649 - ABRACADEIRA NYLON T-120R 390MM,0
509159 - BUCHA FIX D8,0
504407 - FITA ADESIVA DUPLA FACE 3M 12mm x 20m,0
504378 - PARAF FENDA GALV. 3.9 X 1.1/4  /  7 X 32,0
610402 - ESCALA MÉTRICA 5 M,0
649913 - DISCO DE LIXA HOOKIT  G-220,0
649259 - DISCO DE LIXA G-36  7,0
717113 - PAPEL HIGIENICO PERFUMADO,0
