produto,grupo
701458 - CAMISA EM MALHA PIQUÊ SUPREMO ANTI-PILLING GOLA POLO M. CURTA CINZA CLARO,
"497820 - MANTA FILMA POLIET. 2mm. X 1,20 MT.",
700346 - BALDE GRADUADO PP CAP. 8000ML,
700340 - JARRA GRADUADA PLAST CAP. 1000ML,
PAO - CO - PAO DE COCO 500 Gr.,
497836 - CX.PAP.OND.DUP.25X20X16cm..,
326537 - SELADOR P/ MADEIRA - INCOLOR,
120202 - CHAPA 1/4 (6.30 x 2440 x 6000) A36-CIVIL300,Chapas
899999 - MANUTENÇÃO DE VEICULOS,
350102 - ARAME COBREADO MIG 1.2 (ER70S6),
313136 - ESM. PU ACRILICO VERDE,Tintas PU
313134 - ESM. PU ACRILICO AMARELO,Tintas PU
313133 - ESM. PU ACRILICO VERMELHO,Tintas PU
313135 - ESM. PU ACRILICO AZUL,Tintas PU
313137 - ESM. PU CINZA OPALESCENTE,Tintas PU
313131 - ESM. PU ACRILICO LARANJA,Tintas PU
313132 - REDUTOR PARA PU,Tintas PU
318413 - ESM. SINT. LARANJA,Tintas PU
318139 - ESM. SINT. AMARELO VALMET,Tintas PU
318504 - ESM. SINT. VERDE J. DEERE,Tintas PU
318346 - ESM. SINT. VERMELHO M.F.,Tintas PU
318656 - ESM. SINT. AZUL N. HOLLAND,Tintas PU
318280 - ESM. SINT. CINZA OPALESCENTE,Tintas PU
313210 - CATALISADOR PU 1/1 5058 COMP B,Tintas PU
"126615 - AÇO CHATO LAM 3/4 X 2"" SAE-1020",Aços
110012 - ACO LAMINADO RED 2.1/2    1045,Aços
"112203 - ACO TREF. RED. SAE-1020 - 1/2""",Aços
134625 - TUBO MECANICO 40 X  20  ST-52,Tubos
134132 - TUBO MECANICO 32 X 20  ST-52,Tubos
"112150 - ACO TREF. RED. SAE-1045 - 1""",Aços
"112525 - ACO TREF. RED. SAE-1020 - 5/8""",Aços
134212 - TUBO MECANICO  56 X  40  ST-52,Tubos
284282 - RETENTOR REF 00793 BA (AR-5006),
284210 - RETENTOR REF 1552 BR (AR-5363),
501338 - BOBINA P/ ELETROVALVULA VMR 1-2.1/2 220V 25W,
487873 - DETER-SOLV 15 (PARA LIMPEZA DE PEÇAS),
240640 - CIL. COMPL. CBHM/CBH CÓD. 4.1/2 x 2 x 335 mm,Cilindro
318167 - BONDERIT M-FE 564,
318168 - BONDERITE C-IC 3995,
318169 - BONDERITE C-AK L 95 (desengraxante),
318173 - BONDERITE M-FE F212 BO,
318170 - BONDERITE C-AD B 725 (aditivo),
318172 - BONDERITE M-AD 700 (auxiliar),
292026 - TEE DE REDUÇÃO 3.1/2 PARA 2 SCHEDULE 40,
292028 - TEE 2 SCHEDULE 40,
"240234 - MANG A/P SAE-100 3/8"" X 2800 C/ TERM. RETO JIC 3/4"" UNF FEMEA",Especiais
"240217 - MANG A/P SAE-100 3/8"" x 1400mm TERM. RETO/RETO JIC 3/4""",Especiais
"600050 - CHAVE ALLEN CURTA 4,0MM",
600551 - CHAVE CANHÃO DE AÇO CARBONO 6MM,
600552 - JG CHAVE DE FENDA E PHILIPS ISOLADA C/ 5 PÇS,
"569897 - PONTA DE PROVA 1,10M C/ GARRA JACARÉ 70MM",
